link,price,title
https://vancouver.craigslist.org/rch/apa/d/richmond-whole-house/6837276078.html,$2400,Whole house
https://vancouver.craigslist.org/van/apa/d/vancouver-bright-and-cute-1bdrm/6835701407.html,$100,Bright and cute 1bdrm downtown apartment
https://vancouver.craigslist.org/rch/apa/d/richmond-3-bedrooms-25-baths-house-for/6839309156.html,$2300,3 bedrooms 2.5 baths house for rent
https://vancouver.craigslist.org/rds/apa/d/surrey-brand-new-apartment/6832574492.html,$1895,Brand New Apartment
https://vancouver.craigslist.org/bnc/apa/d/new-westminster-can-be-rented-now-1/6835737864.html,$1525,"Can be rented now 1 bdrm , includes heat hot water New Westminster"
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref-sqft-1-bedroom-flex/6837670897.html,$1700,(ORCA_REF#1001-8538)585 sqft 1 bedroom + flex room features high end
https://vancouver.craigslist.org/rch/apa/d/richmond-orcaref5680cgreat-5bed-5bath/6839308698.html,$4600,(ORCA_REF5680C)GREAT 5BED 5BATH HOME IN RICHMOND THOMPSON
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref2419mfurnished-2-bed/6837669324.html,$2500,(ORCA_REF#2419M)***FURNISHED 2 BED and 2 BATH SUITE***
https://vancouver.craigslist.org/van/apa/d/vancouver-scam-2468-bayswater/6839289628.html,$1,Scam  2468 Bayswater
https://vancouver.craigslist.org/rds/apa/d/surrey-bright-functional-2-br-3-bath/6832927123.html,$2200,**Bright & Functional 2 BR/3 BATH TOWNHOUSE**Avail NOW**
https://vancouver.craigslist.org/bnc/apa/d/burnaby-th-avebachelor-apt-in-burnaby/6839289439.html,$995,#6 - 7387 10th Ave**BACHELOR APT IN BURNABY - NEW BUILDING OWNERS**
https://vancouver.craigslist.org/rds/apa/d/surrey-brand-new-2-bedroom-condo-for/6839284251.html,$2100,Brand new 2 bedroom condo for rent at waterstone
https://vancouver.craigslist.org/van/apa/d/vancouver-bsmt-suite-in-quiet/6839288987.html,$950,BSMT suite in quiet neighbourhood
https://vancouver.craigslist.org/pml/apa/d/coquitlam-2-br-basement-suite/6835816001.html,$1500,2 BR Basement Suite - Everything Included
https://vancouver.craigslist.org/van/apa/d/vancouver-functional-2-bed2-bath/6839288747.html,$3500,"Functional 2 Bed+2 Bath Condo@The Beasley, Vancouver Downtown"
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref-bfurnished-luxury/6839288615.html,$8000,(ORCA_REF#501-428B)***FURNISHED LUXURY CONDO LIVING- 3bed MASTERPIECE*
https://vancouver.craigslist.org/bnc/apa/d/new-westminster-agnes-st-sixth-large-1/6832930663.html,$1295,#101 - 503 Agnes St @ Sixth **LARGE 1 BEDROOM APT IN NEW WEST**AVAIL**
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref-bluxury-condo-living/6839288214.html,$8000,(ORCA_REF#501-428B)***LUXURY CONDO LIVING- 3bed MASTERPIECE***
https://vancouver.craigslist.org/rds/apa/d/langley-fort-langley-house-main-flr/6822553783.html,$2200,Fort Langley House Main flr - March 1
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref-bright-fairview/6836975868.html,$2150,(ORCA_REF#1009-1068)***BRIGHT FAIRVIEW BROADWAY 1 BEDROOM PLUS DEN***
https://vancouver.craigslist.org/van/apa/d/vancouver-townhouse-for-rent-in/6839306832.html,$2800,"Townhouse For Rent in Killarney, Vancouver East"
https://vancouver.craigslist.org/van/apa/d/vancouver-1br-1b-second-floor-suite/6839307742.html,$1000,"1BR, 1B Second Floor Suite with Solarium and Large Living Room"
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref4585wwalk-to-jericho/6839307718.html,$6250,(ORCA_REF#4585W)***WALK TO JERICHO BEACH! RENO'd BEAUTY***
https://vancouver.craigslist.org/pml/apa/d/coquitlam-new-spacious-2-bedroom-condo/6829969379.html,$2200,New spacious 2 bedroom condo near Lougheed Mall
https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-west-side-house-5/6833795621.html,$4800,Vancouver West Side House 5 BR 2 BA
https://vancouver.craigslist.org/pml/apa/d/coquitlam-new-spacious-2-bedroom-condo/6832306206.html,$2200,New spacious 2 bedroom condo near Lougheed Mall
https://vancouver.craigslist.org/van/apa/d/vancouver-super-clean-two-bedroom/6834648029.html,$1450,Super clean two bedroom basement suite for rent
https://vancouver.craigslist.org/van/apa/d/vancouver-modern-1-bed-1-bath-in/6839307484.html,$950,"Modern 1 Bed, 1 Bath in Convenient Neighbourhood"
https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-west-side-house-3/6837768384.html,$2800,Vancouver West Side House 3 BR 2 BA - 1st SHOWING SUNDAY
https://vancouver.craigslist.org/van/apa/d/vancouver-br-apartment-for-rent/6836233591.html,$1800,$1800/1BR Apartment for Rent
https://vancouver.craigslist.org/pml/apa/d/maple-ridge-upper-level-home-with-large/6839306244.html,$2050,Upper LEvel Home with Large detached Shop in West Maple Ridge
https://vancouver.craigslist.org/rds/apa/d/delta-north-delta-upstairs-for-rent/6839305843.html,$2000,North Delta Upstairs for Rent
https://vancouver.craigslist.org/rds/apa/d/surrey-new-2-bedroom-suite-laundry/6837696780.html,$1400,New 2 bedroom suite / laundry
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-orcaref2035f2gorgeous-2/6839287587.html,$2895,(ORCA_REF#2035F2)***GORGEOUS 2 BED CONDO @ CAPILANO RESIDENCES!***
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-orcaref2035f1gorgeous-1/6839287296.html,$1800,(ORCA_REF#2035F1)***GORGEOUS 1 BED CONDO @ CAPILANO RESIDENCES!***
https://vancouver.craigslist.org/rds/apa/d/beautiful-2br-basement-suite-in-surrey/6834523264.html,$1300,Beautiful 2Br Basement Suite in Surrey/Cloverdale - $1300
https://vancouver.craigslist.org/van/apa/d/burnaby-1-bed-and-den-huge-apartment/6820384529.html,$2400,1 Bed and Den - Huge Apartment / Condo Unit
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref55aunfurnished-1-bed/6839286706.html,$2100,(ORCA_REF#55A)Unfurnished 1 bed/1bath condo located in the heart of Ga
https://vancouver.craigslist.org/van/apa/d/vancouver-2-bedroom-laneway-house-for/6839286590.html,$1800,2 Bedroom Laneway House for Rent
https://vancouver.craigslist.org/rds/apa/d/white-rock-large-bedroom-full-bath-top/6839286145.html,$805,large bedroom full bath top floor
https://vancouver.craigslist.org/rds/apa/d/surrey-1-spacious-bdrm-large-office-den/6839285330.html,$810,"1 spacious bdrm, a large office/den"
https://vancouver.craigslist.org/rds/apa/d/surrey-2-bedroom-1-bathroom-basement/6839285603.html,$1200,2 bedroom 1 bathroom basement suite in Surrey
https://vancouver.craigslist.org/pml/apa/d/coquitlam-232-hart-street-coquitlam/6839285246.html,$1388,"232 B Hart Street Coquitlam west.  3 bedroom upstairs of duplex $1,388"
https://vancouver.craigslist.org/bnc/apa/d/burnaby-burnaby-north-furnished-two/6817790482.html,$2300,Burnaby north furnished two bedroom townhouse close to SFU
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-1-bedroom-suit/6839305785.html,$1450,1 bedroom suit
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-cascade-at-pier/6839305059.html,$3400,Cascade at Pier-Waterfront Lower Lonsdale
https://vancouver.craigslist.org/rch/apa/d/richmond-orcaref111511tprivate-setting/6836903690.html,$3200,(ORCA_REF#111511T)***Private setting and cozy home***
https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-orcaref4963mwest-coast/6839304983.html,$7950,(ORCA_REF#4963M)West Coast modern 3bed/4 bath Furnished or  Unfurnishe
https://vancouver.craigslist.org/bnc/apa/d/new-westminster-beautiful-3-bedroom/6839304799.html,$1980,Beautiful 3 bedroom suite New West
https://vancouver.craigslist.org/van/apa/d/vancouver-3-bedroom-main-floor-of-house/6839304657.html,$2100,3-Bedroom Main Floor of House
https://vancouver.craigslist.org/rds/apa/d/surrey-2br1bth-pet-friendly-house-in/6836931471.html,$1500,2Br+1Bth Pet Friendly House in Cloverdale
https://vancouver.craigslist.org/bnc/apa/d/beautiful-4-bedroom-burnaby-townhouse/6839304562.html,$3000,Beautiful 4 bedroom Burnaby townhouse
https://vancouver.craigslist.org/pml/apa/d/coquitlam-orcaref440w-b2-bed-1-bath/6839304433.html,$1750,(ORCA_REF#440W-B)***2 BED / 1 BATH PRIVATE GARDEN SUITE
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref2633fully-renovated/6839303952.html,$1995,(ORCA_REF#2633)Fully Renovated - Garden Suite - 2 bedroom - Renfrew
https://vancouver.craigslist.org/rch/apa/d/richmond-renovated-home-available-in/6839303518.html,$3280,"Renovated Home Available in Woodwards Area, Richmond"
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref1541w60marpole-beauty/6839303289.html,$3495,(ORCA_REF#1541W60)***MARPOLE BEAUTY! With or w/o basement suite!***
https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-west-dunbar-single/6834504282.html,$5200,Vancouver west Dunbar single house with separated suite
https://vancouver.craigslist.org/rds/apa/d/surrey-new-1-bdr-suite-ground-level-inc/6839285069.html,$1075,NEW 1 bdr Suite  ground level inc all utilities
https://vancouver.craigslist.org/van/apa/d/vancouver-dunbar-vancouver-west/6834493372.html,$1650,Dunbar Vancouver West furnished one bedroom suite separated entrance
https://vancouver.craigslist.org/pml/apa/d/walk-in-2-bed-rooms-basement-suite/6837444090.html,$1350,Walk-in 2 Bed Rooms Basement Suite
https://vancouver.craigslist.org/van/apa/d/new-westminster-th-avelarge-one-bedroom/6817365495.html,$1295,# 1 - 7387 10th Ave**Large One Bedroom in Burnaby**Available Now**
https://vancouver.craigslist.org/bnc/apa/d/new-westminster-th-avebachelor-apt-in/6826793247.html,$1095,#2 - 7387 10th Ave**BACHELOR APT  IN BURNABY  **
https://vancouver.craigslist.org/van/apa/d/vancouver-beach-clean-bright-quiet/6832284127.html,$1600,** BEACH - clean - BRIGHT - quiet - CHARACTER - laundry - WOOD FLOORS
https://vancouver.craigslist.org/van/apa/d/vancouver-kitsilano-character-clean/6830720264.html,$1600,KITSILANO-CHARACTER-CLEAN-BRIGHT-LAUNDRY-BEACH-WOOD FLOORS
https://vancouver.craigslist.org/pml/apa/d/coquitlam-totally-renovated-2-bed-condo/6818949067.html,$1750,Totally renovated 2 Bed condo near Burquitlam Stn
https://vancouver.craigslist.org/van/apa/d/vancouver-top-floor-balcony-laundry/6830711484.html,$1700,TOP FLOOR - balcony - LAUNDRY -storage-PARKING-renovated-QUIET -bright
https://vancouver.craigslist.org/van/apa/d/vancouver-art-deco-wood-floors-bright/6821236351.html,$1800,ART DECO - WOOD FLOORS - BRIGHT - BIG - CLEAN - CHARACTER - DISHWASHER
https://vancouver.craigslist.org/rds/apa/d/surrey-two-bedroom-basement-for-rent/6839283679.html,$1100,Two bedroom basement for rent
https://vancouver.craigslist.org/rds/apa/d/langley-new-1-bedroom-basement-suite/6839302900.html,$1200,New 1 bedroom basement suite
https://vancouver.craigslist.org/van/apa/d/vancouver-basement-suite-2-bedrooms-in/6830432347.html,$1600,Basement Suite - 2 bedrooms - in amazing neightborhood
https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-studio-1-den-1-bath/6839302435.html,$1775,Furnished Studio + 1 Den + 1 Bath FOR RENT
https://vancouver.craigslist.org/pml/apa/d/coquitlam-bright-and-spacious-2/6839302370.html,$1150,Bright and spacious 2 bedrooms 1 bathroom basement suite
https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-orcaref2703wluxurious/6839301823.html,$8500,(ORCA_REF#2703W)Luxurious living on 3 spacious level Home
https://vancouver.craigslist.org/van/apa/d/vancouver-west-of-denman-near-stanley/6839301733.html,$2500,West of Denman near Stanley Park
https://vancouver.craigslist.org/pml/apa/d/maple-ridge-well-cared-for-family-home/6819516383.html,$2200,Well cared for family home in Cul de sac
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-orcaref-sq-ft-2bed/6839301496.html,$2650,(ORCA_REF#210-1111)899Sq/ft 2bed/2bath Modern updated condo at Branche
https://vancouver.craigslist.org/pml/apa/d/coquitlam-3-bedrooms-and-2-bathrooms/6839301433.html,$2100,3 bedrooms and 2 bathrooms high rise apartment for rent.
https://vancouver.craigslist.org/rds/apa/d/surrey-bedroom-basement-april-1/6839301313.html,$1100,$1100- 2 Bedroom Basement (April 1)
https://vancouver.craigslist.org/van/apa/d/vancouver-4-bedroom-upper-level-house/6839300892.html,$3800,4 bedroom Upper level House Rental
https://vancouver.craigslist.org/bnc/apa/d/burnaby-furnished-4-bedrooms-2/6839300363.html,$3000,furnished 4 Bedrooms/2 Bathrooms located on North Burnaby
https://vancouver.craigslist.org/rch/apa/d/richmond-spaceious-basement-suite/6839293633.html,$1050,Spaceious basement suite
https://vancouver.craigslist.org/van/apa/d/vancouver-1-bedroom-and-den-downtown/6836467910.html,$2400,1 bedroom and den Downtown Vancouver
https://vancouver.craigslist.org/bnc/apa/d/new-westminster-east-columbia1br-apt/6832932880.html,$1195,#3 - 480 East Columbia**1BR Apt for RENT - Avail MARCH 1**
https://vancouver.craigslist.org/van/apa/d/vancouver-1-bedroom-and-den-vancouver/6835805765.html,$2400,1 Bedroom and Den - Vancouver Downtown
https://vancouver.craigslist.org/bnc/apa/d/new-westminster-apt-columbia-st-2-bdrm/6832957456.html,$1395,#Apt 1 480 E Columbia St  **2 BDRM IN BEAUTIFUL HERITAGE BUILDING**
https://vancouver.craigslist.org/van/apa/d/vancouver-apt-pine-prime-kits-bright/6832963851.html,$2495,Apt#301 1975 Pine  *PRIME KITS* Bright & Spacious 2 BDRM High Ceiling
https://vancouver.craigslist.org/van/apa/d/vancouver-one-1-bedroom-marine-gateway/6839282212.html,$1700,One (1) Bedroom @ MARINE GATEWAY (SW MARINE/CAMBIE)
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-huge-2-bedroom-suite/6825223571.html,$2295,Huge 2 Bedroom suite with view in big house near Cates Park
https://vancouver.craigslist.org/rds/apa/d/surrey-lower-west-2-bedroom-basement/6839279222.html,$1200,2 Bedroom Basement suite in Surrey Panorama Ridge erea
https://vancouver.craigslist.org/rds/apa/d/langley-township-northwest-new/6839280660.html,$2300,"======NEW townhouse, 2BR+FLEX+3BA, steps to school, transit==========="
https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-unit-with-water/6824705706.html,$1950,Furnished unit with water view in Yaletown
https://vancouver.craigslist.org/van/apa/d/vancouver-1-br-fully-furnished-and/6816958694.html,$1700,1 Br. Fully  Furnished and decorated
https://vancouver.craigslist.org/rds/apa/d/vancouver-1-bedroom-basement-suite-with/6831148201.html,$1000,1 bedroom basement suite with utilities included
https://vancouver.craigslist.org/van/apa/d/vancouver-unimaginable-chancenew/6837084144.html,$2395,Unimaginable Chance!New Furnished 1 Bedroom+den in luxury high rise in
https://vancouver.craigslist.org/van/apa/d/vancouver-2-br-fully-furnished-and/6823488052.html,$2000,2 Br. Fully  Furnished and decorated
https://vancouver.craigslist.org/rds/apa/d/surrey-avail-april-br-basement-near/6837523554.html,$950,Avail April 01/19 - 1BR Basement - Near Scott Rd. Skytrain
https://vancouver.craigslist.org/pml/apa/d/coquitlam-basement-for-rent/6839277931.html,$1800,Basement for rent
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-fully-furnished-1/6839300223.html,$2375,Fully Furnished 1 Bedroom + Large Den Condo w/Balcony in LoLo
https://vancouver.craigslist.org/van/apa/d/vancouver-one-bedroom-furnished-robson/6839300182.html,$1875,One Bedroom Furnished - Robson & Burrard - At the heart of Vancouver
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref1668dgorgeous-studio-1/6839299473.html,$1825,(ORCA_REF#1668D)***GORGEOUS STUDIO 1 BATH CONDO @ ENGLISH BAY RESIDENC
https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-luxury-apartment-w1/6818960603.html,$1900,Brand New Luxury apartment W1
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref2722e47brand-new/6839299114.html,$1800,(ORCA_REF#2722E47)BRAND NEW KILLARNEY 2 BEDROOM 1 BATH LANE WAY HOUSE
https://vancouver.craigslist.org/van/apa/d/vancouver-avail-now-luxury-newer-bi/6839299099.html,$3395,Avail Now - LUXURY NEWER BI LEVEL 2 BED UN-FURN CONDO  OCEAN VIEWS
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver/6839298882.html,$4000,"(ORCA_REF#2035TWN2B)***GORGEOUS TWN 2 BED, 2 BATH CONDO @ CAPILANO"
https://vancouver.craigslist.org/bnc/apa/d/burnaby-basement-level-2-bedroom-march/6839297603.html,$1300,Basement Level 2 Bedroom (March-August)
https://vancouver.craigslist.org/van/apa/d/vancouver-2-bedroom-basement-suite-with/6833748946.html,$1575,2 Bedroom Basement Suite with Storage
https://vancouver.craigslist.org/rch/apa/d/richmond-orcaref-richmond-brighouse/6837717309.html,$1800,(ORCA_REF#807-6351)Richmond - Brighouse - Condo - 1 Bed + Den - 780 Sq
https://vancouver.craigslist.org/pml/apa/d/house-for-rent-on-2-acre-lot/6839278479.html,$2500,House for Rent on 2 Acre Lot
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-orcaref940gspacious/6839278391.html,$2000,(ORCA_REF#940G)Spacious Basement Suite Must See.
https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-orcaref630gorgeous/6839277917.html,$7875,(ORCA_REF#630)***GORGEOUS  Upgraded BP house!***
https://vancouver.craigslist.org/van/apa/d/vancouver-1-bed-apt-with-outdoor-space/6839275269.html,$1975,"1 bed apt with outdoor space, nr Main St"
https://vancouver.craigslist.org/pml/apa/d/coquitlam-orcaref422wbrand-new-split/6839277663.html,$2350,(ORCA_REF#422W)***BRAND NEW SPLIT LEVEL 2 BED / 2 BATH w. LARGE DEN IN
https://vancouver.craigslist.org/van/apa/d/vancouver-1-room-in-2-bed-apartment/6839277464.html,$1100,"1 Room in 2 Bed Apartment Downtown West End, Couples Welcome!"
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-unobstructed-views-3/6835185201.html,$4995,Unobstructed views!  3 bedroom 2 bathroom at The Pinnacle Residences
https://vancouver.craigslist.org/rds/apa/d/surrey-3-bedroom-upper-level-house-pool/6839277255.html,$1800,3 bedroom upper level house W/Pool
https://vancouver.craigslist.org/van/apa/d/vancouver-modern-two-bedroom-two/6829625512.html,$2495,Modern two bedroom two bathroom and solarium suite
https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-orcaref2290beautiful/6839277173.html,$5000,(ORCA_REF#2290)***BEAUTIFUL 3000SQFT SOUTH FACING FAMILY HOME IN A DES
https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-luxury-suite-3/6836442641.html,$5995,Furnished Luxury suite 3 bedroom 3 bath at the Classico
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-spacious-family-home-5/6834633087.html,$4995,Spacious family home 5 bedroom 4 bathroom unfurnished or furnished
https://vancouver.craigslist.org/rch/apa/d/richmond-richmond-4-bedroom-1-den-house/6839276650.html,$3950,Richmond 4 Bedroom + 1 Den House for rent with swimming pool
https://vancouver.craigslist.org/bnc/apa/d/burnaby-fully-furnished-2-br-suite-for/6839297272.html,$2000,FULLY FURNISHED 2 BR SUITE - FOR STUDENTS OR SMALL FAMILY
https://vancouver.craigslist.org/van/apa/d/vancouver-main-floor-2brden/6837739927.html,$1850,Main Floor 2Br+Den
https://vancouver.craigslist.org/rds/apa/d/surrey-surrey-guildford-escada-3-bed-1/6837553818.html,$2450,Surrey Guildford Escada 3 Bed + 1 Basement Townhouse
https://vancouver.craigslist.org/van/apa/d/vancouver-house-for-rent/6839296326.html,$3500,House for Rent
https://vancouver.craigslist.org/rch/apa/d/richmond-1-bedroom-for-rent-near/6826848651.html,$1450,"1 bedroom for rent near Richmond Ctr, 8751 Citation Dr"
https://vancouver.craigslist.org/rch/apa/d/richmond-2-bedrooms-for-rent-near-rmd/6826855241.html,$1700,2 bedrooms for rent near Rmd Ctr - 8751 Citation Dr
https://vancouver.craigslist.org/rds/apa/d/surrey-new-condo-in-surrey-central/6834535212.html,$1500,New Condo in Surrey Central
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-orcaref2035f3/6839295930.html,$4430,"(ORCA_REF#2035F3/2.5D)***GORGEOUS 3 BED, 2.5 BATH CONDO @ CAPILANO"
https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref-hh-living-great-value/6839295645.html,$2650,(ORCA_REF#804-1133)***H&H Living! GREAT VALUE 2 BED and 2 BATH***
https://vancouver.craigslist.org/bnc/apa/d/burnaby-furnished-2-br-independent/6835577847.html,$2000,FURNISHED 2 BR - INDEPENDENT SUITE [BETER THAN ANY HOSTEL/HOTEL]
https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-fabulous-location-in/6833668310.html,$2200,Fabulous location in Ambleside
https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-orcaref-sq-ft-one/6839295387.html,$2600,"(ORCA_REF#507-199)700 sq ft, one bedroom + den located in luxurious"
https://vancouver.craigslist.org/pml/apa/d/maple-ridge-big-2-bdr-2-large-dens/6834613562.html,$1800,(((Big 2 bdr + 2 Large Dens basement suite available)))
https://vancouver.craigslist.org/rch/apa/d/richmond-orcaref8988-contemporary-2/6839295168.html,$2595,(ORCA_REF#8988)*** Contemporary 2 bedroom GORGEOUS Condo!***$2300 (unf
https://vancouver.craigslist.org/bnc/apa/d/new-westminster-large-private-condo/6839276189.html,$785,large private CONDO
https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-beautiful-3-bdrm-and-4/6829810136.html,$2350,Beautiful 3 bdrm and 4 bath Townhome
